Arabic, عربى
Expiration Date,تاريخ الانتهاء
Card Verification Number,رقم التحقق من البطاقة
Fraud Detection,الكشف عن حالات الغش
FDS Filter Action,إجراء تصفية FDS
AVS Response,رد AVS
Card Code Response,استجابة شفرة البطاقة
CAVV Response,استجابة CAVV
Fraud Filters,مانع الاحتيال.
Place Order,إنشاء الطلب
"Sorry, but something went wrong. Please contact the seller.",آسف, ولكن حدث شيء خاطئ خاطئ. الرجاء الاتصال بالبائع.,,,,
Authorize.net Direct Post,نشر مباشر Authorize.net
Enabled,تفعيل
Payment Action,إجراءات الدفع
Title,العنوان
API Login ID,API اسم المستخدم
Transaction Key,مفتاح عملية الدفع
Merchant MD5,تاجر MD5
New Order Status,حالة طلب جديدة
Test Mode,وضع الاختبار
Gateway URL,رابط البوابة
Transaction Details URL,رابط تفاصيل عملية الدفع
Accepted Currency,العملات المقبولة
Debug,تنقيح
Email Customer,البريد الإلكتروني للعميل
Merchant's Email,البريد الإلكتروني للتاجر
Credit Card Types,أنواع بطاقة الائتمان
Credit Card Verification,التحقق من البطاقة الائتمانية
Payment from Applicable Countries,الدفع من البلدان المطبقة
Payment from Specific Countries,الدفع من بلدان معينة
Minimum Order Total,إجمالي الحد الأدنى للطلب
Maximum Order Total,إجمالي الحد الأعلى للطلب
Sort Order,ترتيب الطلبات
Invalid Form Key. Please refresh the page.,مفتاح النموذج غير صالح. الرجاء اعادة تنشيط الصفحة.
You entered an invalid Secret Key. Please refresh the page.,"قمت بإدخال ""مفتاح سر"" غيرصالح. الرجاء تحديث الصفحة."
Cache Storage Management,إدارة التخزين المؤقت
Flush Magento Cache,مسح ذاكرة التخزين المؤقت لماجنتو
The cache storage may contain additional data. Are you sure that you want to flush it?,ذاكرة التخزين المؤقت قد تحتوي على بيانات إضافية. هل أنت متأكد من أنك تريد مسحها؟
Flush Cache Storage,مسح ذاكرة التخزين المؤقت
Invalidated,إلغاء الصلاحية
Orders,طلبات الشراء
Amounts,المبالغ
Bestsellers,الأكثر مبيعاً
Most Viewed Products,المنتجات الأكثر مشاهدة
New Customers,عضو جديد
Customers,العملاء
Customer,العميل
Guest,زائر
Items,المنتجات
Total,الإجمالي
Lifetime Sales,مبيعات مدى الحياة
Average Order,متوسط الطلبات
Average,المتوسط
Product,المنتج
Price,السعر
Quantity,الكمية
Views,عدد المشاهدات
Revenue,الإيرادات
Tax,الضريبة
Shipping,الشحن
"Images (.gif, .jpg, .png)","الصور (.gif,.jpg,.png)"
"Media (.avi, .flv, .swf)","الوسائط (.avi, .flv, .swf)"
All Files,كل الملفات
Reset to Default,إعادة ضبط للإعدادات الإفتراضية
All Store Views,واجهه جميع المواقع
What is this?,ما هذا؟
Save Account,حفظ الحساب
Account Information,معلومات الحساب
User Name,اسم المستخدم
First Name,الإسم الأول
Last Name,اسم العائلة
Email,البريد الإلكتروني
User Email,البريد الإلكتروني للمستخدم
New Password,كلمة المرور الجديدة
Password Confirmation,تأكيد كلمة المرور
Interface Locale,لغة الواجهة
Current User Identity Verification,التحقق من هوية المستخدم الحالية
Your Password,كلمة المرور الخاصة بك
Save Cache Settings,حفظ إعدادات الذاكرة المؤقتة
Catalog Rewrites,Rewrites دليل المنتجات
Refresh,التحديث
Images Cache,ذاكرة التخزين المؤقت للصور
Clear,مسح
Search Index,فهرس البحث
Rebuild,إعادة بناء
Inventory Stock Status,حالة جرد المخزون
Rebuild Catalog Index,إعادة إنشاء فهرس دليل المنتجات
Rebuild Flat Catalog Category,إعادة إنشاء flat category لدليل المنتجات
Rebuild Flat Catalog Product,إعادة بناء  Flat Catalog Product
Cache Control,التحكم في التخزين المؤقت
All Cache,ذاكرة التخزين المؤقت
No change,لا يوجد تغيير
Disable,إبطال
Enable,تفعيل
Add Design Change,إضافة تغيير التصميم
Back,رجوع
Delete,احذف
Are you sure?,هل أنت متأكد؟
Save,حفظ
Edit Design Change,تعديل تغيير التصميم
New Store Design Change,تغيير تصميم المتجر الجديد
General Settings,إعدادات عامة
Store,متجر
-- Please Select --,--الرجاء الاختيار-
Custom Design,تصميم مخصص
Date From,التاريخ من
Date To,التاريخ إلى
Design Change,تغيير التصميم
General,عام
Cancel,إلغاء
Delete %1 '%2',حذف %1 '%2'
Delete %1,حذف %1
Block Information,اغلاق المعلومات
Backup Options,خيارات النسخ الاحتياطي
Create DB Backup,إنشاء نسخة احتياطية لقاعدة البيانات
Yes,نعم
No,لا
Delete Store,حذف متجر
Delete Web Site,حذف موقع الويب
Save Web Site,حفظ موقع الويب
Save Store,حفظ المتجر
Save Store View,حفظ عرض المتجر
Delete Store View,حذف عرض متجر
Edit Web Site,تعديل موقع الويب
New Web Site,موقع ويب جديد
Edit Store,تعديل متجر
New Store,متجر جديد
Edit Store View,تعديل عرض المتجر
New Store View,عرض متجر جديد
Store Information,بيانات المتجر
Web Site,موقع
Name,اسم
Code,كود
Root Category,التصنيف الجذر
Default Store View,عرض المتجر الافتراضي
Store View Information,بيانات عرض المتجر
Status,الحاله
Disabled,غير مفعل
Enabled,تفعيل
Sort Order,الترتيب
Web Site Information,بيانات الموقع
Default Store,المتجر الافتراضي
Set as Default,تعيين كافتراضي
Stores,المتاجر
Create Website,إنشاء موقع
Create Store,إنشاء متجر
Create Store View,إنشاء عرض متجر
Home,الصفحة الرئيسية
Reset,اعادة ضبط
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟
Add New Image,اضف صورة جديدة
Export block for grid %1 is not defined,تصدير قائمة للشبكة %1 غير معرف
Reset Filter,ترشيح اعادة تعين
Search,بحث
Any,اي
All Countries,جميع الدول
From,من
To,إلى
Date selector,اختيار التاريخ
[ deleted ],[محذوف]
Select All,اختيار الكل
[deleted],[deleted]
We couldn't find any records.,لم يتم العثور على أي سجلات.
Add New,إضافة جديد
Invalid export type supplied for grid export block,Invalid export type supplied for grid export block
Export,استخراج
Please correct the column format and try again.,الرجاء تصحيح تنسيق العمود وحاول مرة أخرى.
An item needs to be selected. Select and try again.,An item needs to be selected. Select and try again.
Submit,إرسال
Unknown block type,نوع block غير معروف
Please correct the tab configuration and try again. Tab Id should be not empty,الرجاء تصحيح اعدادات التبويب ثم حاول مرة أخرى. يجب أن يكون معرف علامة التبويب غير فارغ
Please correct the tab configuration and try again.,الرجاء تصحيح ضبط التبويب ثم حاول مرة أخرى.
You have logged out.,لقد سجلت خروجك.
These cache type(s) don't exist: %1,These cache type(s) don't exist: %1
The image cache was cleaned.,تم مسح ذاكرة تخزين الصور.
